dexNum,id,form,name,starter,startercost,prevolution,eggTier,generation,spriteKey,formKey,hasVariants,category,type1,type2,ability1,ability2,hiddenAbility,passive,bst,hp,atk,def,spatk,spdef,spd,sublegend,legendary,mythical,weight,height,catchRate,friendship,baseExp,growthRate,maleRatio,genderDiffs,isStartSelectable,isUnobtainable,canChangeForm
1,BULBASAUR,,Bulbasaur,BULBASAUR,3,,COMMON,1,1,,true,Seed Pokémon,GRASS,POISON,OVERGROW,OVERGROW,CHLOROPHYLL,GRASSY_SURGE,318,45,49,49,65,65,45,false,false,false,6.9,0.7,45,50,64,MEDIUM_SLOW,87.5,false,false,,false
2,IVYSAUR,,Ivysaur,BULBASAUR,,BULBASAUR,,1,2,,true,Seed Pokémon,GRASS,POISON,OVERGROW,OVERGROW,CHLOROPHYLL,GRASSY_SURGE,405,60,62,63,80,80,60,false,false,false,13,1,45,50,142,MEDIUM_SLOW,87.5,false,false,,false
3,VENUSAUR,Normal,Venusaur,BULBASAUR,,IVYSAUR,,1,3,,true,Seed Pokémon,GRASS,POISON,OVERGROW,OVERGROW,CHLOROPHYLL,GRASSY_SURGE,525,80,82,83,100,100,80,false,false,false,100,2,45,50,263,MEDIUM_SLOW,87.5,true,true,false,true
3,VENUSAUR,Mega,Mega Venusaur,BULBASAUR,,IVYSAUR,,1,3-mega,mega,true,Seed Pokémon,GRASS,POISON,THICK_FAT,THICK_FAT,THICK_FAT,SEED_SOWER,625,80,100,123,122,120,80,false,false,false,100,2,45,50,263,MEDIUM_SLOW,87.5,true,false,false,
3,VENUSAUR,G-Max,G-Max Venusaur,BULBASAUR,,IVYSAUR,,1,3-gigantamax,gigantamax,true,Seed Pokémon,GRASS,POISON,EFFECT_SPORE,EFFECT_SPORE,EFFECT_SPORE,FLOWER_VEIL,625,120,122,90,108,105,80,false,false,false,100,2,45,50,263,MEDIUM_SLOW,87.5,true,false,false,
4,CHARMANDER,,Charmander,CHARMANDER,3,,COMMON,1,4,,true,Lizard Pokémon,FIRE,,BLAZE,BLAZE,SOLAR_POWER,SHEER_FORCE,309,39,52,43,60,50,65,false,false,false,8.5,0.6,45,50,62,MEDIUM_SLOW,87.5,false,false,,false
5,CHARMELEON,,Charmeleon,CHARMANDER,,CHARMANDER,,1,5,,true,Flame Pokémon,FIRE,,BLAZE,BLAZE,SOLAR_POWER,SHEER_FORCE,405,58,64,58,80,65,80,false,false,false,19,1.1,45,50,142,MEDIUM_SLOW,87.5,false,false,,false
6,CHARIZARD,Normal,Charizard,CHARMANDER,,CHARMELEON,,1,6,,true,Flame Pokémon,FIRE,FLYING,BLAZE,BLAZE,SOLAR_POWER,BATTLE_BOND,534,78,84,78,109,85,100,false,false,false,90.5,1.7,45,50,267,MEDIUM_SLOW,87.5,false,true,false,true
6,CHARIZARD,Mega X,Mega Charizard X,CHARMANDER,,CHARMELEON,,1,6-mega-x,mega-x,true,Flame Pokémon,FIRE,DRAGON,TOUGH_CLAWS,TOUGH_CLAWS,TOUGH_CLAWS,LEVITATE,634,78,130,111,130,85,100,false,false,false,90.5,1.7,45,50,267,MEDIUM_SLOW,87.5,false,false,false,
6,CHARIZARD,Mega Y,Mega Charizard Y,CHARMANDER,,CHARMELEON,,1,6-mega-y,mega-y,true,Flame Pokémon,FIRE,FLYING,DROUGHT,DROUGHT,DROUGHT,TURBOBLAZE,634,78,104,78,159,115,100,false,false,false,90.5,1.7,45,50,267,MEDIUM_SLOW,87.5,false,false,false,
