dexNum,id,evoDexNum,evoId,prevoKey,evoKey,levelNeeded,evoItems,evoDelay,timeOfDayCond,biomeCond,genderEvo,moveTypeCond,knowsMove,friendship,haveCaught,tyrogueStats,rockruffAbility,shedinjaBs,weatherCond,dunsparceSeed,nature,partyTypeCond,heldItemCond,evoTreasureTracker
1,BULBASAUR,2,IVYSAUR,,,16,,,,,,,,,,,,,,,,,,
2,IVYSAUR,3,VENUSAUR,,,32,,,,,,,,,,,,,,,,,,
4,CHARMANDER,5,CHARMELEON,,,16,,,,,,,,,,,,,,,,,,
5,CHARMELEON,6,CHARIZARD,,,36,,,,,,,,,,,,,,,,,,
7,SQUIRTLE,8,WARTORTLE,,,16,,,,,,,,,,,,,,,,,,
8,WARTORTLE,9,BLASTOISE,,,36,,,,,,,,,,,,,,,,,,
10,CATERPIE,11,METAPOD,,,7,,,,,,,,,,,,,,,,,,
11,METAPOD,12,BUTTERFREE,,,10,,,,,,,,,,,,,,,,,,
13,WEEDLE,14,KAKUNA,,,7,,,,,,,,,,,,,,,,,,
14,KAKUNA,15,BEEDRILL,,,10,,,,,,,,,,,,,,,,,,
16,PIDGEY,17,PIDGEOTTO,,,18,,,,,,,,,,,,,,,,,,
17,PIDGEOTTO,18,PIDGEOT,,,36,,,,,,,,,,,,,,,,,,
19,RATTATA,20,RATICATE,,,20,,,,,,,,,,,,,,,,,,
21,SPEAROW,22,FEAROW,,,20,,,,,,,,,,,,,,,,,,
23,EKANS,24,ARBOK,,,22,,,,,,,,,,,,,,,,,,
25,PIKACHU,2026,ALOLA_RAICHU,,,1,SHINY_STONE,30|35|40,,,,,,,,,,,,,,,,
25,PIKACHU,2026,ALOLA_RAICHU,partner,,1,SHINY_STONE,30|35|40,,,,,,,,,,,,,,,,
25,PIKACHU,26,RAICHU,,,1,THUNDER_STONE,30|35|40,,,,,,,,,,,,,,,,
25,PIKACHU,26,RAICHU,partner,,1,THUNDER_STONE,30|35|40,,,,,,,,,,,,,,,,
27,SANDSHREW,28,SANDSLASH,,,22,,,,,,,,,,,,,,,,,,
29,NIDORAN_F,30,NIDORINA,,,16,,,,,,,,,,,,,,,,,,
30,NIDORINA,31,NIDOQUEEN,,,1,MOON_STONE,32|36|42,,,,,,,,,,,,,,,,
32,NIDORAN_M,33,NIDORINO,,,16,,,,,,,,,,,,,,,,,,
33,NIDORINO,34,NIDOKING,,,1,MOON_STONE,32|36|42,,,,,,,,,,,,,,,,
35,CLEFAIRY,36,CLEFABLE,,,1,MOON_STONE,32|32|36,,,,,,,,,,,,,,,,
37,VULPIX,38,NINETALES,,,1,FIRE_STONE,30|35|40,,,,,,,,,,,,,,,,
39,JIGGLYPUFF,40,WIGGLYTUFF,,,1,MOON_STONE,30|35|40,,,,,,,,,,,,,,,,
41,ZUBAT,42,GOLBAT,,,22,,,,,,,,,,,,,,,,,,
42,GOLBAT,169,CROBAT,,,1,,42|48|54,,,,,,120,,,,,,,,,,
43,ODDISH,44,GLOOM,,,21,,,,,,,,,,,,,,,,,,
44,GLOOM,45,VILEPLUME,,,1,LEAF_STONE,30|35|40,,,,,,,,,,,,,,,,
44,GLOOM,182,BELLOSSOM,,,1,SUN_STONE,30|35|40,,,,,,,,,,,,,,,,
46,PARAS,47,PARASECT,,,24,,,,,,,,,,,,,,,,,,
48,VENONAT,49,VENOMOTH,,,31,,,,,,,,,,,,,,,,,,
50,DIGLETT,51,DUGTRIO,,,26,,,,,,,,,,,,,,,,,,
52,MEOWTH,53,PERSIAN,,,28,,,,,,,,,,,,,,,,,,
54,PSYDUCK,55,GOLDUCK,,,33,,,,,,,,,,,,,,,,,,
56,MANKEY,57,PRIMEAPE,,,28,,,,,,,,,,,,,,,,,,
57,PRIMEAPE,979,ANNIHILAPE,,,35,,45|55|65,,,,,RAGE_FIST,,,,,,,,,,,
58,GROWLITHE,59,ARCANINE,,,1,FIRE_STONE,30|35|40,,,,,,,,,,,,,,,,
60,POLIWAG,61,POLIWHIRL,,,25,,,,,,,,,,,,,,,,,,
61,POLIWHIRL,62,POLIWRATH,,,1,WATER_STONE,30|35|40,,,,,,,,,,,,,,,,
61,POLIWHIRL,186,POLITOED,,,1,LINKING_CORD,30|35|40,,,,,,,,,,,,,,,,
63,ABRA,64,KADABRA,,,16,,,,,,,,,,,,,,,,,,
64,KADABRA,65,ALAKAZAM,,,1,LINKING_CORD,40|45|50,,,,,,,,,,,,,,,,
66,MACHOP,67,MACHOKE,,,28,,,,,,,,,,,,,,,,,,
67,MACHOKE,68,MACHAMP,,,1,LINKING_CORD,38|46|54,,,,,,,,,,,,,,,,
69,BELLSPROUT,70,WEEPINBELL,,,21,,,,,,,,,,,,,,,,,,
70,WEEPINBELL,71,VICTREEBEL,,,1,LEAF_STONE,31|36|41,,,,,,,,,,,,,,,,
72,TENTACOOL,73,TENTACRUEL,,,30,,,,,,,,,,,,,,,,,,
74,GEODUDE,75,GRAVELER,,,25,,,,,,,,,,,,,,,,,,
75,GRAVELER,76,GOLEM,,,1,LINKING_CORD,35|45|55,,,,,,,,,,,,,,,,
77,PONYTA,78,RAPIDASH,,,40,,,,,,,,,,,,,,,,,,
79,SLOWPOKE,80,SLOWBRO,,,37,,,,,,,,,,,,,,,,,,
79,SLOWPOKE,199,SLOWKING,,,1,LINKING_CORD,37|37|37,,,,,,,,,,,,,,,,
81,MAGNEMITE,82,MAGNETON,,,30,,,,,,,,,,,,,,,,,,
82,MAGNETON,462,MAGNEZONE,,,1,THUNDER_STONE,50|55|60,,,,,,,,,,,,,,,,
84,DODUO,85,DODRIO,,,31,,,,,,,,,,,,,,,,,,
86,SEEL,87,DEWGONG,,,34,,,,,,,,,,,,,,,,,,
88,GRIMER,89,MUK,,,38,,,,,,,,,,,,,,,,,,
90,SHELLDER,91,CLOYSTER,,,1,WATER_STONE,36|40|44,,,,,,,,,,,,,,,,
92,GASTLY,93,HAUNTER,,,25,,,,,,,,,,,,,,,,,,
93,HAUNTER,94,GENGAR,,,1,LINKING_CORD,40|45|50,,,,,,,,,,,,,,,,
95,ONIX,208,STEELIX,,,1,LINKING_CORD,35|40|45,,,,STEEL,,,,,,,,,,,,
96,DROWZEE,97,HYPNO,,,26,,,,,,,,,,,,,,,,,,
98,KRABBY,99,KINGLER,,,28,,,,,,,,,,,,,,,,,,
100,VOLTORB,101,ELECTRODE,,,30,,,,,,,,,,,,,,,,,,
102,EXEGGCUTE,2103,ALOLA_EXEGGUTOR,,,1,SUN_STONE,35|40|40,,,,,,,,,,,,,,,,
102,EXEGGCUTE,103,EXEGGUTOR,,,1,LEAF_STONE,35|40|40,,,,,,,,,,,,,,,,
104,CUBONE,2105,ALOLA_MAROWAK,,,28,,,DUSK|NIGHT,,,,,,,,,,,,,,,
104,CUBONE,105,MAROWAK,,,28,,,DAWN|DAY,,,,,,,,,,,,,,,
108,LICKITUNG,463,LICKILICKY,,,33,,33|38|48,,,,,ROLLOUT,,,,,,,,,,,
109,KOFFING,4110,GALAR_WEEZING,,,35,,,DUSK|NIGHT,,,,,,,,,,,,,,,
109,KOFFING,110,WEEZING,,,35,,,DAWN|DAY,,,,,,,,,,,,,,,
111,RHYHORN,112,RHYDON,,,42,,,,,,,,,,,,,,,,,,
112,RHYDON,464,RHYPERIOR,,,1,PROTECTOR,72|82|92,,,,,,,,,,,,,,,,
113,CHANSEY,242,BLISSEY,,,1,,40|45|45,,,,,,180,,,,,,,,,,
114,TANGELA,465,TANGROWTH,,,33,,33|39|45,,,,,ANCIENT_POWER,,,,,,,,,,,
116,HORSEA,117,SEADRA,,,32,,,,,,,,,,,,,,,,,,
117,SEADRA,230,KINGDRA,,,1,DRAGON_SCALE,42|52|62,,,,,,,,,,,,,,,,
118,GOLDEEN,119,SEAKING,,,33,,,,,,,,,,,,,,,,,,
120,STARYU,121,STARMIE,,,1,WATER_STONE,20|25|30,,,,,,,,,,,,,,,,
123,SCYTHER,212,SCIZOR,,,1,LINKING_CORD,40|50|60,,,,STEEL,,,,,,,,,,,,
123,SCYTHER,900,KLEAVOR,,,1,BLACK_AUGURITE,40|50|60,,,,,,,,,,,,,,,,
125,ELECTABUZZ,466,ELECTIVIRE,,,1,ELECTIRIZER,50|60|70,,,,,,,,,,,,,,,,
126,MAGMAR,467,MAGMORTAR,,,1,MAGMARIZER,50|60|70,,,,,,,,,,,,,,,,
129,MAGIKARP,130,GYARADOS,,,20,,,,,,,,,,,,,,,,,,
133,EEVEE,700,SYLVEON,,,1,,24|28|28,,,,FAIRY,,120,,,,,,,,,,
133,EEVEE,700,SYLVEON,partner,,1,,24|28|28,,,,FAIRY,,120,,,,,,,,,,
133,EEVEE,196,ESPEON,,,1,,24|28|28,DAWN|DAY,,,,,120,,,,,,,,,,
133,EEVEE,196,ESPEON,partner,,1,,24|28|28,DAWN|DAY,,,,,120,,,,,,,,,,
133,EEVEE,197,UMBREON,,,1,,24|28|28,DUSK|NIGHT,,,,,120,,,,,,,,,,
133,EEVEE,197,UMBREON,partner,,1,,24|28|28,DUSK|NIGHT,,,,,120,,,,,,,,,,
133,EEVEE,134,VAPOREON,,,1,WATER_STONE,24|28|28,,,,,,,,,,,,,,,,
133,EEVEE,134,VAPOREON,partner,,1,WATER_STONE,24|28|28,,,,,,,,,,,,,,,,
133,EEVEE,135,JOLTEON,,,1,THUNDER_STONE,24|28|28,,,,,,,,,,,,,,,,
