move,tier
MEGA_PUNCH,GREAT
PAY_DAY,COMMON
FIRE_PUNCH,GREAT
ICE_PUNCH,GREAT
THUNDER_PUNCH,GREAT
SWORDS_DANCE,GREAT
FLY,GREAT
MEGA_KICK,GREAT
BODY_SLAM,GREAT
TAKE_DOWN,GREAT
DOUBLE_EDGE,ULTRA
PIN_MISSILE,GREAT
ROAR,COMMON
FLAMETHROWER,ULTRA
HYDRO_PUMP,ULTRA
SURF,ULTRA
ICE_BEAM,ULTRA
BLIZZARD,ULTRA
PSYBEAM,COMMON
HYPER_BEAM,ULTRA
LOW_KICK,GREAT
COUNTER,COMMON
STRENGTH,GREAT
SOLAR_BEAM,ULTRA
FIRE_SPIN,COMMON
THUNDERBOLT,ULTRA
THUNDER_WAVE,COMMON
THUNDER,ULTRA
EARTHQUAKE,ULTRA
DIG,GREAT
TOXIC,GREAT
PSYCHIC,ULTRA
AGILITY,GREAT
NIGHT_SHADE,COMMON
SCREECH,GREAT
DOUBLE_TEAM,COMMON
CONFUSE_RAY,COMMON
LIGHT_SCREEN,COMMON
HAZE,COMMON
REFLECT,COMMON
FOCUS_ENERGY,COMMON
METRONOME,COMMON
SELF_DESTRUCT,GREAT
FIRE_BLAST,ULTRA
WATERFALL,GREAT
SWIFT,COMMON
AMNESIA,GREAT
DREAM_EATER,GREAT
LEECH_LIFE,ULTRA
FLASH,COMMON
EXPLOSION,GREAT
REST,COMMON
ROCK_SLIDE,GREAT
TRI_ATTACK,ULTRA
SUPER_FANG,COMMON
SUBSTITUTE,COMMON
THIEF,GREAT
SNORE,COMMON
CURSE,GREAT
REVERSAL,COMMON
SPITE,COMMON
PROTECT,COMMON
SCARY_FACE,GREAT
SLUDGE_BOMB,ULTRA
MUD_SLAP,COMMON
SPIKES,COMMON
ZAP_CANNON,GREAT
ICY_WIND,GREAT
OUTRAGE,ULTRA
SANDSTORM,COMMON
GIGA_DRAIN,ULTRA
ENDURE,COMMON
CHARM,COMMON
FALSE_SWIPE,COMMON
SWAGGER,COMMON
STEEL_WING,GREAT
ATTRACT,COMMON
SLEEP_TALK,COMMON
HEAL_BELL,COMMON
RETURN,ULTRA
SAFEGUARD,COMMON
PAIN_SPLIT,COMMON
MEGAHORN,ULTRA
BATON_PASS,COMMON
ENCORE,COMMON
IRON_TAIL,GREAT
METAL_CLAW,COMMON
SYNTHESIS,GREAT
HIDDEN_POWER,GREAT
RAIN_DANCE,COMMON
SUNNY_DAY,COMMON
CRUNCH,GREAT
PSYCH_UP,COMMON
ANCIENT_POWER,COMMON
SHADOW_BALL,ULTRA
FUTURE_SIGHT,GREAT
ROCK_SMASH,COMMON
WHIRLPOOL,COMMON
BEAT_UP,COMMON
UPROAR,GREAT
HEAT_WAVE,ULTRA
HAIL,COMMON
TORMENT,COMMON
WILL_O_WISP,COMMON
FACADE,GREAT
FOCUS_PUNCH,GREAT
NATURE_POWER,GREAT
CHARGE,COMMON
